data,concurso,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,dezena_7,dezena_8,dezena_9,dezena_10,dezena_11,dezena_12,dezena_13,dezena_14,dezena_15
2004-11-22,61,1,4,5,9,11,12,13,14,15,16,19,20,22,23,25
2004-11-29,62,1,3,7,8,9,11,13,14,15,16,17,18,20,24,25
2004-12-06,63,4,8,9,10,11,12,13,16,17,19,20,21,22,24,25
2004-12-13,64,1,2,3,6,7,8,9,10,13,14,17,18,20,23,25
2004-12-20,65,1,2,4,7,10,15,16,17,18,19,20,21,22,23,25
2004-12-27,66,1,2,4,8,10,11,14,15,16,17,20,21,22,23,24
2005-01-03,67,5,7,8,9,10,11,12,13,15,16,20,21,22,23,24
2005-01-10,68,1,2,3,5,6,7,8,9,10,12,16,17,22,23,25
2005-01-17,69,1,4,7,8,9,10,11,15,17,18,19,20,21,23,24
2005-01-24,70,1,2,3,5,6,9,10,12,14,15,16,19,20,24,25
2005-01-31,71,1,3,5,6,8,9,11,13,14,15,16,18,21,22,23
2005-02-09,72,1,2,5,7,8,11,12,13,15,16,17,18,23,24,25
2005-02-14,73,1,2,5,7,10,11,13,14,15,16,17,18,19,21,25
2005-02-21,74,1,2,3,4,5,6,8,11,13,15,16,18,22,23,25
2005-02-28,75,1,3,4,5,6,7,8,10,11,13,15,16,17,20,25
2005-03-07,76,1,3,5,8,9,10,12,13,15,16,17,19,21,23,25
2005-03-14,77,2,3,4,6,8,9,11,14,17,18,20,21,22,24,25
2005-03-21,78,1,2,3,5,6,7,8,12,13,15,16,17,18,20,23
2005-03-28,79,1,2,3,5,9,12,14,15,17,18,20,22,23,24,25
2005-04-04,80,1,2,3,4,5,7,9,10,14,15,17,18,20,22,25
2005-04-11,81,1,2,3,4,5,6,7,10,11,13,15,16,17,19,21
2005-04-18,82,1,4,5,6,8,9,12,13,15,17,18,19,20,22,23
2005-04-25,83,1,2,3,5,6,8,10,11,12,13,14,20,23,24,25
2005-05-02,84,1,2,4,6,8,12,15,16,17,19,20,22,23,24,25
2005-05-09,85,1,2,5,7,8,9,11,13,14,15,16,18,21,22,23
2005-05-16,86,2,4,5,6,8,9,12,13,14,17,18,19,23,24,25
2005-05-23,87,1,2,3,5,8,9,10,11,13,15,18,20,22,24,25
2005-05-30,88,1,2,4,5,8,9,10,11,12,14,17,18,19,24,25
2005-06-06,89,1,6,11,12,13,15,16,17,19,20,21,22,23,24,25
2005-06-13,90,1,2,3,8,10,11,12,15,17,20,21,22,23,24,25
2005-06-20,91,1,4,9,10,11,12,13,14,15,16,17,20,22,23,25
2005-06-27,92,1,2,4,6,8,12,13,14,15,17,18,19,21,22,24
2005-07-04,93,2,4,5,6,7,9,10,13,17,18,19,20,21,23,24
2005-07-11,94,2,4,8,9,11,12,13,15,16,17,18,21,22,23,24
2005-07-18,95,1,2,3,4,5,10,11,12,14,15,17,18,19,20,22
2005-07-25,96,3,4,6,9,10,12,14,16,17,18,19,21,22,23,24
2005-08-02,97,3,4,6,10,12,13,14,15,17,19,20,22,23,24,25
2005-08-08,98,1,2,5,6,8,10,11,15,17,18,20,22,23,24,25
2005-08-15,99,1,2,3,4,7,10,11,13,14,16,17,20,21,24,25
2005-08-22,100,1,3,4,8,9,10,11,12,13,14,16,17,22,23,25
2005-08-29,101,1,3,6,7,9,10,13,14,16,17,19,20,21,23,24
2005-09-05,102,1,2,3,4,7,9,10,11,12,18,19,21,22,23,25
2005-09-12,103,1,2,3,4,5,7,8,10,11,16,17,18,22,23,25
2005-09-19,104,5,6,7,10,11,13,14,15,16,18,19,21,22,24,25
2005-09-26,105,4,6,7,8,9,10,11,12,13,15,17,19,21,22,25
2005-10-03,106,1,2,3,4,5,6,10,12,13,14,15,17,22,23,25
2005-10-10,107,1,3,4,6,7,8,9,11,12,15,17,18,21,24,25
2005-10-17,108,1,2,4,7,8,9,11,12,14,15,16,18,22,23,25
2005-10-24,109,1,3,5,7,9,11,12,13,16,18,20,21,23,24,25
2005-10-31,110,1,3,4,5,6,12,13,14,17,19,20,21,22,23,25
2005-11-07,111,1,5,6,10,11,12,13,15,17,18,19,21,22,24,25
2005-11-14,112,1,2,3,4,6,10,11,14,15,17,18,19,20,21,23
2005-11-21,113,1,2,4,5,6,8,11,12,13,14,19,20,21,24,25
2005-11-28,114,1,2,3,6,7,8,9,10,11,14,20,21,22,24,25
2005-12-05,115,1,4,5,6,7,9,11,12,13,16,17,18,20,21,25
2005-12-12,116,1,2,9,10,11,12,13,14,16,18,19,20,21,23,25
2005-12-19,117,5,6,7,9,10,11,12,13,14,15,17,18,20,23,25
2005-12-27,118,2,4,5,6,8,12,13,14,15,18,19,21,22,23,24
2006-01-02,119,1,4,6,8,9,10,11,15,17,18,20,21,22,23,24
2006-01-09,120,1,3,5,7,8,11,12,13,15,16,18,19,20,21,24
2006-01-16,121,1,2,4,5,7,9,10,11,12,16,17,18,23,24,25
2006-01-23,122,1,2,4,5,8,9,10,13,15,17,18,20,22,23,25
2006-01-30,123,4,5,6,7,11,12,13,17,18,19,20,21,22,23,24
2006-02-06,124,2,3,4,6,7,9,14,15,16,18,19,20,21,24,25
2006-02-13,125,2,3,4,6,7,9,10,11,12,15,16,21,22,24,25
2006-02-20,126,1,2,3,4,6,7,8,13,14,16,18,21,22,24,25
2006-03-01,127,1,2,3,4,5,7,10,11,12,13,18,19,22,23,25
2006-03-06,128,2,3,4,6,11,13,14,15,16,17,19,20,21,23,25
2006-03-13,129,2,5,6,7,9,11,13,15,18,19,20,21,22,23,25
2006-03-20,130,2,3,4,5,6,9,10,12,13,15,17,19,23,24,25
2006-03-27,131,2,4,5,6,7,8,11,12,13,15,19,20,22,23,25
2006-04-03,132,1,3,4,5,7,9,10,11,14,15,16,17,22,23,25
2006-04-10,133,1,3,4,5,8,9,11,13,15,18,19,20,21,22,23
2006-04-17,134,1,3,5,7,8,10,11,12,13,14,16,17,19,22,25
2006-04-24,135,1,2,5,7,8,10,13,14,15,18,19,20,21,22,25
2006-05-02,136,1,2,3,5,6,9,12,13,14,15,17,21,22,23,24
2006-05-08,137,2,6,8,9,10,11,12,13,16,17,18,19,20,21,25
2006-05-15,138,2,3,4,5,7,8,11,13,15,16,17,21,22,24,25
2006-05-22,139,1,2,7,9,12,14,15,16,17,18,19,21,22,23,24
2006-05-29,140,1,2,3,6,9,10,12,13,15,18,19,20,22,24,25
2006-06-05,141,1,3,7,8,9,10,12,13,16,17,18,19,20,24,25
2006-06-12,142,1,2,4,5,6,7,9,15,16,17,18,19,22,23,24
2006-06-19,143,1,2,8,9,11,13,15,16,17,19,21,22,23,24,25
2006-06-26,144,1,2,4,7,9,11,12,14,17,19,20,21,22,24,25
2006-07-03,145,1,2,3,9,10,11,13,14,15,17,18,20,22,24,25
2006-07-10,146,1,2,5,8,10,11,12,13,14,16,17,22,23,24,25
2006-07-17,147,1,2,4,5,6,10,11,12,13,16,19,21,22,23,25
2006-07-24,148,1,2,4,5,8,9,12,13,16,17,20,21,22,24,25
2006-08-01,149,2,5,7,9,10,13,15,16,17,18,19,20,23,24,25
2006-08-07,150,1,3,5,6,7,8,9,11,14,19,21,22,23,24,25
2006-08-14,151,3,4,5,7,9,10,11,12,13,14,16,18,20,23,24
2006-08-21,152,3,4,5,6,7,8,13,15,17,19,20,22,23,24,25
2006-08-28,153,1,2,4,5,8,11,12,13,17,18,20,21,23,24,25
2006-09-04,154,1,2,3,5,6,9,10,11,13,14,15,16,18,23,24
2006-09-11,155,2,4,5,8,10,11,14,15,16,18,19,20,21,22,24
2006-09-18,156,1,3,4,8,9,10,11,12,13,14,15,19,20,22,23
2006-09-25,157,1,2,4,6,7,9,10,12,14,16,18,19,21,24,25
2006-10-02,158,2,7,8,9,10,11,12,15,16,17,18,19,20,22,23
2006-10-09,159,1,2,3,4,5,6,8,10,11,14,15,17,20,24,25
2006-10-16,160,1,3,4,9,10,11,12,14,15,16,17,19,20,21,24
2006-10-19,161,1,5,8,11,13,15,16,17,18,20,21,22,23,24,25
2006-10-23,162,1,2,3,4,5,6,8,11,12,13,16,18,20,23,24
2006-10-26,163,1,2,3,5,6,7,9,13,14,15,20,21,23,24,25
2006-10-30,164,1,2,3,5,6,8,10,11,14,15,18,21,22,23,24
2006-11-03,165,1,2,4,6,8,9,12,13,14,15,17,18,19,22,25
2006-11-06,166,2,3,4,8,9,10,13,14,15,18,19,20,21,22,23
2006-11-09,167,1,2,3,6,8,9,10,13,14,16,18,19,22,23,24
2006-11-13,168,1,2,3,4,7,10,12,15,16,17,19,20,22,23,24
2006-11-16,169,1,4,5,6,7,8,9,10,11,12,15,16,20,21,24
2006-11-21,170,1,3,4,5,6,7,8,10,13,16,18,20,22,23,25
2006-11-23,171,1,3,4,10,11,12,13,15,16,17,21,22,23,24,25
2006-11-27,172,1,2,4,6,7,9,10,11,12,13,18,20,21,22,25
2006-11-30,173,2,3,4,5,7,8,11,15,19,20,21,22,23,24,25
2006-12-04,174,1,2,4,7,9,10,11,12,13,15,17,20,23,24,25
2006-12-07,175,2,3,5,6,7,11,12,13,14,15,16,18,19,21,24
2006-12-11,176,2,4,10,11,12,13,15,16,17,18,21,22,23,24,25
2006-12-14,177,2,6,7,8,10,11,13,15,16,17,19,20,21,23,24
2006-12-18,178,2,3,4,6,8,9,10,14,16,19,20,21,23,24,25
2006-12-21,179,2,3,4,5,7,9,13,14,15,17,19,22,23,24,25
2006-12-26,180,1,2,3,4,5,6,7,8,10,11,15,17,20,24,25
2006-12-28,181,1,4,5,6,7,8,14,15,16,17,19,20,21,22,23
2007-01-02,182,2,3,4,7,8,9,11,13,14,17,19,21,22,23,25
2007-01-04,183,2,4,6,7,8,11,13,14,16,19,20,21,23,24,25
2007-01-08,184,1,3,7,8,9,10,11,15,16,17,18,19,21,23,25
2007-01-11,185,1,2,4,6,7,8,9,11,12,15,17,19,20,23,25
2007-01-15,186,2,4,5,6,11,12,13,16,17,18,19,22,23,24,25
2007-01-18,187,1,3,11,12,13,15,16,17,18,19,21,22,23,24,25
2007-01-22,188,2,3,5,8,10,11,13,16,19,20,21,22,23,24,25
2007-01-25,189,1,2,4,5,6,7,9,13,16,18,19,20,22,23,24
2007-01-29,190,1,3,4,5,7,8,11,13,14,15,16,18,19,23,24
2007-02-01,191,2,5,8,9,10,12,13,15,17,18,19,20,21,22,23
2007-02-05,192,1,2,3,4,5,6,11,13,14,15,16,21,22,23,24
2007-02-08,193,1,2,3,4,5,8,9,10,14,15,16,19,20,21,25
2007-02-12,194,2,7,8,9,10,12,13,14,15,17,18,21,22,23,25
2007-02-15,195,2,3,4,6,7,8,9,11,12,14,17,18,19,22,23
2007-02-22,196,2,3,4,5,10,14,15,16,17,19,20,22,23,24,25
2007-02-26,197,3,4,5,6,7,8,9,10,12,13,18,20,21,22,23
2007-03-01,198,1,2,4,5,6,7,13,14,15,16,17,18,20,21,25
2007-03-05,199,1,2,3,4,5,6,9,11,12,15,19,20,21,22,23
2007-03-08,200,1,2,4,5,8,9,11,12,13,14,15,16,21,23,24
2007-03-12,201,1,2,4,5,8,9,10,11,12,13,14,15,19,20,22
2007-03-15,202,1,3,5,10,11,13,14,16,17,18,19,21,22,23,24
2007-03-19,203,1,2,3,4,5,6,7,12,13,14,17,18,23,24,25
2007-03-22,204,2,3,4,5,7,8,11,14,15,16,17,22,23,24,25
2007-03-26,205,2,3,4,9,10,11,12,14,15,16,17,18,21,22,25
2007-03-29,206,2,3,5,8,9,11,12,13,14,15,16,17,20,21,22
2007-04-02,207,1,2,3,4,6,9,10,12,13,14,15,17,19,20,22
2007-04-05,208,1,3,4,6,7,9,10,11,12,14,15,16,19,23,24
2007-04-09,209,1,3,5,6,7,9,10,14,15,18,19,21,22,24,25
2007-04-12,210,3,5,7,9,10,11,13,14,15,16,18,21,22,23,24
2007-04-16,211,1,2,4,6,8,10,11,12,14,16,17,18,22,24,25
2007-04-19,212,1,3,4,6,8,9,10,11,12,14,16,19,20,22,23
2007-04-23,213,1,3,4,5,8,9,10,11,16,18,19,21,23,24,25
2007-04-26,214,1,2,3,4,9,11,13,14,15,18,19,20,22,24,25
2007-04-30,215,1,3,4,5,7,9,11,12,14,15,17,18,19,23,25
2007-05-03,216,2,3,4,5,6,7,9,10,11,13,17,19,21,24,25
2007-05-07,217,2,3,4,5,6,7,9,10,11,12,16,17,19,21,25
2007-05-10,218,2,5,7,8,11,12,13,14,15,16,17,20,21,22,25
2007-05-14,219,2,3,6,8,9,11,14,16,17,18,19,22,23,24,25
2007-05-17,220,5,9,10,12,13,14,15,16,17,18,20,21,23,24,25
2007-05-21,221,1,2,3,6,7,8,10,12,16,17,19,20,21,23,25
2007-05-24,222,1,3,4,5,6,7,8,9,12,15,18,21,22,23,24
2007-05-28,223,2,4,7,9,10,11,12,13,14,16,20,21,22,23,24
2007-05-31,224,4,6,8,9,10,11,12,13,15,18,19,20,21,23,24
2007-06-04,225,1,2,3,5,7,8,13,14,15,18,19,20,22,23,25
2007-06-08,226,4,5,8,10,11,13,14,15,16,17,18,19,20,21,25
2007-06-11,227,1,5,7,8,9,10,12,14,15,17,18,19,20,21,22
2007-06-14,228,2,4,10,11,12,13,14,15,16,17,18,19,20,24,25
2007-06-18,229,2,6,8,9,10,11,12,13,14,15,16,17,20,23,25
2007-06-21,230,1,2,3,4,5,6,8,10,11,13,14,15,17,22,24
2007-06-25,231,1,2,5,6,7,10,12,15,16,17,18,19,21,24,25
2007-06-28,232,4,5,6,9,11,12,13,14,16,17,18,21,23,24,25
2007-07-02,233,1,2,3,4,5,6,7,8,9,12,13,14,17,19,21
2007-07-05,234,1,2,3,4,5,9,11,12,13,14,15,17,21,22,24
2007-07-09,235,1,8,10,12,13,14,15,16,17,18,19,21,23,24,25
2007-07-12,236,1,3,4,5,7,8,9,12,13,15,16,21,22,23,25
2007-07-16,237,4,5,6,7,9,12,13,15,16,18,19,20,21,22,23
2007-07-19,238,1,3,4,6,11,12,13,14,15,17,19,20,21,23,24
2007-07-23,239,1,3,5,6,7,9,10,13,14,15,16,19,22,23,25
2007-07-26,240,1,2,4,9,10,11,13,14,15,16,18,19,21,22,23
2007-07-30,241,3,4,5,8,9,12,13,14,15,17,20,21,23,24,25
2007-08-02,242,2,5,6,8,9,13,14,15,16,17,18,19,21,22,23
2007-08-06,243,1,2,3,4,5,7,12,13,16,17,18,20,21,23,25
2007-08-09,244,3,5,6,7,9,10,11,12,14,15,18,20,21,22,24
2007-08-13,245,1,2,6,7,9,10,11,12,14,15,16,18,19,24,25
2007-08-16,246,1,4,5,7,8,9,10,12,13,15,17,18,21,24,25
2007-08-20,247,1,2,3,4,7,8,9,14,15,16,17,19,22,23,25
2007-08-23,248,1,2,5,8,9,10,11,12,13,15,16,19,20,21,25
2007-08-27,249,4,5,7,8,9,10,12,14,15,17,18,21,22,23,25
2007-08-30,250,1,2,3,5,9,10,12,13,15,16,17,18,19,21,23
2007-09-03,251,3,4,5,6,9,10,13,15,16,18,19,21,22,23,25
2007-09-06,252,2,3,4,6,8,11,14,15,17,18,19,22,23,24,25
2007-09-10,253,1,4,5,6,7,8,11,12,13,15,18,19,21,22,23
2007-09-13,254,2,3,4,5,6,7,8,9,11,13,14,15,16,20,23
2007-09-17,255,1,2,3,4,6,9,10,14,15,16,17,21,22,23,24
2007-09-20,256,1,2,6,7,8,9,10,12,13,15,16,18,20,22,24
2007-09-24,257,1,3,6,7,9,10,12,13,14,16,17,18,19,22,24
2007-09-27,258,2,4,5,6,9,12,13,14,17,19,20,21,22,24,25
2007-10-01,259,3,5,6,7,8,9,10,15,18,19,20,21,22,24,25
2007-10-04,260,1,3,4,5,6,7,8,9,11,13,14,18,19,20,24
2007-10-08,261,1,2,4,5,6,7,11,13,15,16,17,19,20,21,25
2007-10-11,262,3,4,6,7,8,9,12,13,14,15,17,20,21,23,24
2007-10-15,263,1,4,7,8,9,10,11,14,15,16,18,19,21,23,24
2007-10-18,264,1,3,4,6,8,9,12,13,16,19,20,21,22,23,25
2007-10-22,265,1,5,7,8,11,12,13,15,16,17,18,19,20,22,24
2007-10-25,266,1,3,4,5,6,7,9,11,14,15,18,19,21,22,24
2007-10-29,267,2,3,4,5,6,9,11,12,13,14,15,17,21,23,24
2007-11-01,268,5,6,7,8,9,10,12,14,15,16,18,19,20,23,25
2007-11-05,269,1,2,4,6,10,13,14,15,16,17,18,19,22,23,24
2007-11-08,270,1,3,4,5,6,7,8,9,14,16,18,19,23,24,25
2007-11-12,271,1,2,4,5,6,8,11,12,16,18,19,20,21,24,25
2007-11-16,272,1,2,4,5,8,9,11,12,13,15,17,20,23,24,25
2007-11-19,273,1,5,6,7,10,12,15,16,17,18,19,20,21,24,25
2007-11-22,274,2,4,5,6,7,10,11,12,14,15,17,20,21,23,25
2007-11-26,275,1,3,5,6,8,9,10,11,12,14,15,17,18,20,22
2007-11-29,276,2,3,4,5,7,10,11,12,13,17,18,19,20,22,25
2007-12-03,277,2,4,9,10,11,12,13,14,16,17,21,22,23,24,25
2007-12-06,278,1,2,3,5,6,9,11,12,13,15,17,19,21,23,25
2007-12-10,279,1,2,3,5,6,9,10,11,12,13,17,18,19,22,23
2007-12-13,280,3,4,5,6,9,10,11,13,15,16,17,19,20,24,25
2007-12-17,281,1,2,3,4,8,9,10,11,12,14,15,17,19,23,25
2007-12-20,282,2,3,4,7,8,11,12,13,15,16,19,20,21,22,25
2007-12-22,283,1,2,4,6,8,9,10,11,12,13,19,20,22,23,24
2007-12-27,284,1,3,5,6,7,11,12,13,15,17,19,21,22,23,25
2007-12-29,285,1,4,5,8,9,10,11,12,13,14,15,16,19,22,23
2008-01-03,286,1,2,3,4,7,9,10,11,12,13,19,21,23,24,25
2008-01-07,287,2,5,6,7,10,12,13,15,16,17,18,21,22,23,25
2008-01-10,288,1,2,3,4,6,9,10,12,13,14,15,18,19,24,25
2008-01-14,289,1,2,3,4,6,8,9,10,12,14,15,17,19,22,24
2008-01-17,290,1,2,5,6,7,9,11,12,13,14,17,20,21,22,23
2008-01-21,291,1,2,5,7,8,10,11,12,13,14,15,17,20,23,24
2008-01-24,292,2,3,5,7,8,9,11,12,13,16,17,21,22,24,25
2008-01-28,293,1,2,3,6,9,12,13,14,15,18,19,22,23,24,25
2008-01-31,294,1,2,3,4,5,7,8,11,12,15,16,20,23,24,25
2008-02-07,295,2,3,4,6,10,13,15,16,17,18,19,21,23,24,25
2008-02-11,296,2,3,6,7,8,11,12,14,15,16,17,18,19,22,25
2008-02-14,297,1,4,7,8,9,10,12,14,15,16,21,22,23,24,25
2008-02-18,298,1,3,4,6,7,8,11,12,13,14,15,16,21,22,24
2008-02-21,299,3,5,6,7,8,10,13,17,18,19,20,21,22,23,24
2008-02-25,300,3,4,7,8,9,11,12,15,17,19,20,21,22,23,25
2008-02-28,301,2,3,8,9,11,12,13,14,15,17,18,19,20,22,23
2008-03-03,302,2,4,5,6,9,10,11,12,14,15,16,18,20,22,25
2008-03-06,303,2,3,4,6,8,12,15,16,17,18,20,21,22,23,24
2008-03-10,304,1,3,4,5,12,14,15,16,17,18,19,20,21,22,25
2008-03-13,305,2,3,4,5,8,10,11,12,13,18,20,21,22,24,25
2008-03-17,306,1,2,4,5,8,11,12,13,14,15,16,18,19,20,25
2008-03-20,307,1,3,4,6,9,10,12,14,15,17,19,20,21,23,24
2008-03-24,308,1,2,4,5,12,13,15,16,18,19,21,22,23,24,25
2008-03-27,309,1,2,3,4,8,9,10,13,14,16,17,20,21,22,24
2008-03-31,310,2,3,5,9,10,11,14,15,16,17,18,19,21,23,24
2008-04-03,311,2,4,5,7,10,12,14,15,16,17,19,20,23,24,25
2008-04-07,312,1,2,6,8,9,10,11,12,13,16,17,18,19,22,25
2008-04-10,313,2,3,6,7,9,10,12,14,15,16,17,18,19,23,25
2008-04-14,314,1,2,5,6,8,9,11,12,13,14,15,19,20,21,22
2008-04-17,315,2,3,5,6,8,11,13,14,16,17,19,20,21,23,24
2008-04-22,316,1,3,4,6,7,8,10,12,13,14,15,18,19,23,24
2008-04-24,317,1,2,4,5,8,9,11,14,16,18,19,21,22,24,25
2008-04-28,318,3,4,5,6,9,11,12,13,14,15,16,18,21,23,25
2008-05-02,319,1,3,4,6,8,9,10,12,14,16,17,19,20,23,24
2008-05-05,320,1,3,6,9,11,12,14,15,17,18,19,21,22,23,25
2008-05-08,321,2,3,4,9,10,11,12,13,14,16,17,18,20,24,25
2008-05-12,322,1,2,3,5,7,12,13,15,16,17,18,20,21,23,24
2008-05-15,323,1,2,3,4,6,7,9,10,14,17,19,20,21,23,25
2008-05-19,324,1,2,3,4,6,7,8,9,10,12,16,20,21,23,24
2008-05-23,325,1,2,4,5,6,7,10,14,15,19,20,22,23,24,25
2008-05-26,326,1,2,4,6,7,8,10,11,12,13,15,17,18,24,25
2008-05-29,327,1,2,3,4,8,12,13,14,15,16,17,18,19,21,23
2008-06-02,328,2,3,4,5,11,12,13,15,18,19,21,22,23,24,25
2008-06-05,329,1,2,3,4,8,9,13,14,17,18,20,21,23,24,25
2008-06-09,330,1,2,5,6,9,12,14,15,17,18,19,22,23,24,25
2008-06-12,331,1,3,5,6,7,12,13,15,16,18,19,21,22,23,25
2008-06-16,332,2,3,5,6,7,10,11,12,14,19,20,21,23,24,25
2008-06-19,333,1,2,5,6,9,11,12,13,14,15,16,18,21,23,25
2008-06-23,334,1,2,6,7,8,11,13,15,16,17,18,21,22,23,25
2008-06-26,335,1,3,4,6,7,8,9,11,12,14,16,17,19,20,21
2008-06-30,336,1,2,3,5,6,8,10,11,14,15,16,17,19,22,25
2008-07-03,337,1,3,4,5,7,8,9,10,11,12,16,18,19,22,23
2008-07-07,338,3,4,5,6,7,9,12,14,15,16,17,19,20,21,25
2008-07-10,339,1,2,5,8,10,13,15,16,18,19,20,21,22,23,24
2008-07-14,340,2,3,4,5,6,8,9,10,11,14,19,20,21,22,25
2008-07-17,341,1,5,7,9,11,12,13,16,18,19,20,21,22,24,25
2008-07-21,342,1,3,4,8,11,12,13,15,16,19,20,21,22,23,25
2008-07-24,343,3,5,6,8,11,12,13,14,15,16,18,19,20,22,25
2008-07-28,344,3,4,5,6,9,10,11,12,13,15,16,20,21,24,25
2008-07-31,345,2,7,9,11,12,14,15,16,18,19,20,21,23,24,25
2008-08-04,346,1,2,3,5,6,8,10,12,14,15,17,18,21,23,24
2008-08-07,347,3,5,7,8,9,10,11,12,14,15,18,19,20,24,25
2008-08-11,348,1,2,5,7,8,12,14,17,18,19,20,21,22,24,25
2008-08-14,349,1,2,5,7,8,12,14,16,17,18,19,20,22,24,25
2008-08-18,350,1,2,3,4,6,7,8,9,12,13,14,15,22,23,25
2008-08-21,351,1,2,3,5,7,10,11,12,14,16,17,18,19,23,24
2008-08-25,352,1,2,3,4,6,9,12,13,15,17,18,19,20,22,24
2008-08-28,353,2,3,7,8,9,11,12,13,17,18,19,20,21,22,23
2008-09-01,354,1,2,4,7,8,9,10,12,16,17,18,19,21,22,23
