data,concurso,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5
1995-12-14,164,7,9,19,45,80
1995-12-17,165,12,21,27,45,75
1995-12-21,166,2,31,41,43,44
1995-12-26,167,20,33,62,63,69
1996-01-02,168,15,26,30,44,69
1996-01-07,169,3,15,30,56,72
1996-01-11,170,18,22,27,74,75
1996-01-14,171,12,18,37,47,56
1996-01-18,172,37,38,57,67,79
1996-01-21,173,22,29,34,42,51
1996-01-25,174,11,16,23,44,48
1996-01-28,175,29,60,64,72,79
1996-02-01,176,1,27,29,36,73
1996-02-04,177,9,33,48,67,73
1996-02-08,178,5,14,15,66,68
1996-02-11,179,30,60,65,68,75
1996-02-15,180,1,20,23,25,49
1996-02-18,181,6,21,31,37,64
1996-02-25,182,9,44,46,57,59
1996-02-29,183,20,33,48,69,70
1996-03-03,184,22,29,38,58,62
1996-03-07,185,9,24,28,31,45
1996-03-10,186,6,20,21,46,63
1996-03-14,187,2,43,45,64,68
1996-03-17,188,28,43,56,57,77
1996-03-21,189,1,5,52,53,71
1996-03-24,190,21,29,46,59,76
1996-03-28,191,4,7,19,35,56
1996-03-31,192,16,37,54,68,77
1996-04-07,193,12,13,51,67,73
1996-04-11,194,14,19,32,37,45
1996-04-14,195,8,23,50,65,73
1996-04-18,196,10,27,30,72,78
1996-04-21,197,3,27,30,33,59
1996-04-25,198,6,14,18,71,73
1996-04-28,199,3,31,47,77,79
1996-05-05,200,19,21,64,70,72
1996-05-09,201,7,71,73,76,79
1996-05-12,202,6,37,43,61,62
1996-05-16,203,3,13,17,47,60
1996-05-19,204,7,11,21,51,58
1996-05-23,205,4,9,31,40,58
1996-05-26,206,1,10,36,62,64
1996-05-30,207,5,7,12,16,66
1996-06-02,208,3,24,48,52,71
1996-06-09,209,26,37,61,67,71
1996-06-13,210,10,14,32,53,61
1996-06-16,211,3,11,19,31,39
1996-06-20,212,38,46,50,65,69
1996-06-23,213,5,13,14,34,63
1996-06-27,214,10,19,24,34,72
1996-06-30,215,37,46,49,62,73
1996-07-04,216,31,32,34,54,59
1996-07-07,217,8,41,56,65,74
1996-07-11,218,17,26,31,33,63
1996-07-14,219,3,19,32,59,63
1996-07-18,220,19,35,38,39,78
1996-07-21,221,45,69,72,77,79
1996-07-25,222,3,24,27,58,69
1996-07-28,223,10,21,43,64,68
1996-08-01,224,18,41,58,62,73
1996-08-04,225,16,34,37,42,70
1996-08-08,226,17,24,50,56,66
1996-08-11,227,19,23,32,38,61
1996-08-15,228,12,23,50,52,55
1996-08-18,229,7,60,62,67,74
1996-08-22,230,14,27,41,68,78
1996-08-25,231,3,28,41,58,75
1996-08-29,232,27,34,35,42,62
1996-09-01,233,49,55,56,68,71
1996-09-05,234,27,29,34,64,73
1996-09-08,235,17,27,35,54,76
1996-09-12,236,14,26,51,55,64
1996-09-15,237,14,26,36,37,69
1996-09-19,238,25,27,55,61,69
1996-09-22,239,17,60,67,74,75
1996-09-26,240,30,35,49,51,69
1996-09-29,241,2,16,32,63,67
1996-10-06,242,22,34,36,42,62
1996-10-10,243,2,4,55,60,65
1996-10-13,244,5,8,31,32,41
1996-10-17,245,16,25,27,28,69
1996-10-20,246,22,61,63,66,80
1996-10-24,247,3,5,22,30,60
1996-10-27,248,5,50,56,60,62
1996-10-31,249,9,50,63,67,76
1996-11-03,250,43,51,75,79,80
1996-11-07,251,20,37,46,61,74
1996-11-10,252,8,14,43,65,76
1996-11-17,253,7,21,54,62,77
1996-11-21,254,21,38,52,60,66
1996-11-24,255,11,46,55,75,78
1996-11-28,256,4,6,18,40,74
1996-12-01,257,24,26,37,48,71
1996-12-05,258,3,35,39,63,69
1996-12-08,259,6,21,22,52,74
1996-12-12,260,16,19,21,23,32
1996-12-15,261,2,10,29,33,54
1996-12-19,262,13,61,65,67,79
1996-12-22,263,32,63,66,76,77
1996-12-29,264,23,25,29,52,55
1997-01-05,265,26,37,39,66,71
1997-01-09,266,21,28,51,65,69
1997-01-12,267,8,27,44,66,75
1997-01-16,268,39,51,57,75,76
1997-01-19,269,7,22,23,50,76
1997-01-23,270,14,21,33,34,45
1997-01-26,271,3,11,24,54,65
1997-01-30,272,3,14,22,32,41
1997-02-02,273,13,15,25,39,44
1997-02-06,274,15,52,55,62,79
1997-02-09,275,13,22,29,68,72
1997-02-16,276,13,17,23,49,71
1997-02-20,277,26,32,38,68,72
1997-02-23,278,5,10,21,51,58
1997-02-27,279,2,20,39,53,60
1997-03-02,280,16,18,46,56,80
1997-03-06,281,23,41,46,53,71
1997-03-09,282,20,48,50,75,76
1997-03-13,283,25,46,52,61,74
1997-03-16,284,9,23,56,64,73
1997-03-20,285,7,13,37,56,64
1997-03-23,286,2,18,64,67,77
1997-03-30,287,11,28,60,61,71
1997-04-03,288,2,13,27,78,80
1997-04-06,289,4,69,70,72,80
1997-04-10,290,5,6,55,70,73
1997-04-13,291,5,34,45,49,58
1997-04-17,292,4,42,67,74,75
1997-04-20,293,4,41,49,55,80
1997-04-27,294,17,20,43,68,74
1997-05-04,295,10,20,29,65,76
1997-05-08,296,1,21,50,55,68
1997-05-11,297,25,52,53,58,78
1997-05-15,298,6,17,31,40,66
1997-05-18,299,11,25,29,52,53
1997-05-22,300,8,19,20,28,34
1997-05-25,301,44,46,53,59,65
1997-06-01,302,7,30,51,52,69
1997-06-05,303,28,48,50,64,71
1997-06-08,304,3,22,42,71,79
1997-06-12,305,6,16,31,36,53
1997-06-15,306,9,28,34,40,42
1997-06-19,307,10,27,29,61,66
1997-06-22,308,13,14,16,21,69
1997-06-26,309,16,26,37,40,62
1997-06-29,310,1,14,49,71,74
1997-07-03,311,29,46,53,63,68
1997-07-06,312,6,29,36,44,68
1997-07-10,313,28,30,54,67,74
1997-07-13,314,7,10,18,57,74
1997-07-17,315,12,19,33,44,67
1997-07-20,316,27,28,50,65,76
1997-07-24,317,2,8,36,45,64
1997-07-27,318,22,26,34,39,40
1997-07-31,319,1,21,33,39,48
1997-08-03,320,3,4,7,14,39
1997-08-07,321,18,21,23,54,74
1997-08-10,322,10,25,33,43,68
1997-08-14,323,32,34,52,68,73
1997-08-17,324,42,56,61,76,79
1997-08-21,325,2,7,9,27,59
1997-08-24,326,5,6,12,50,61
1997-08-28,327,3,10,35,47,59
1997-08-31,328,17,23,52,70,71
1997-09-04,329,7,12,36,39,50
1997-09-07,330,6,7,9,36,45
1997-09-11,331,53,57,62,70,78
1997-09-14,332,24,25,34,50,65
1997-09-19,333,1,3,18,46,64
1997-09-21,334,15,20,23,78,79
1997-09-25,335,9,16,20,34,53
1997-09-28,336,42,54,55,70,74
1997-10-02,337,1,20,40,42,75
1997-10-05,338,3,7,10,23,43
1997-10-09,339,2,3,45,49,60
1997-10-12,340,4,6,35,64,65
1997-10-16,341,27,32,54,57,80
1997-10-19,342,1,9,51,59,74
1997-10-23,343,13,16,18,21,36
1997-10-26,344,4,27,44,61,71
1997-10-30,345,21,22,40,51,74
1997-11-02,346,14,35,53,64,77
1997-11-06,347,16,25,27,33,74
1997-11-09,348,14,22,24,59,72
1997-11-13,349,15,23,25,29,71
1997-11-16,350,6,18,42,56,72
1997-11-20,351,12,36,38,50,53
1997-11-23,352,2,28,51,53,77
1997-11-27,353,1,21,46,56,79
1997-11-30,354,3,16,32,37,50
1997-12-04,355,8,22,48,59,76
1997-12-07,356,18,35,37,50,54
1997-12-11,357,3,33,44,77,78
1997-12-14,358,11,29,42,63,72
1997-12-18,359,12,33,51,60,80
1997-12-21,360,11,46,49,60,71
1997-12-28,361,20,40,59,68,80
1998-01-04,362,17,50,69,73,76
1998-01-08,363,17,31,51,60,74
1998-01-11,364,3,25,30,32,62
1998-01-15,365,10,31,37,61,74
1998-01-18,366,7,10,32,54,59
1998-01-22,367,41,58,61,66,80
1998-01-25,368,6,11,43,46,58
1998-01-29,369,6,28,32,51,80
1998-02-01,370,12,14,26,27,75
1998-02-05,371,9,30,38,56,76
1998-02-08,372,1,12,49,55,76
1998-02-12,373,16,26,36,41,78
1998-02-15,374,27,44,45,56,71
1998-02-19,375,2,12,14,16,29
1998-02-22,376,1,17,47,68,71
1998-03-01,377,4,19,48,76,80
1998-03-05,378,5,16,34,40,73
1998-03-08,379,11,29,36,38,67
1997-03-12,380,1,7,28,48,73
1998-03-15,381,7,15,45,53,66
1998-03-19,382,4,17,19,51,62
1998-03-22,383,1,2,4,6,28
1998-03-26,384,36,50,55,58,75
1998-03-29,385,18,29,35,63,68
1998-03-31,386,15,17,18,25,44
1998-04-02,387,26,32,45,62,77
1998-04-04,388,17,36,67,69,77
1998-04-07,389,25,38,57,69,78
1998-04-11,390,19,30,35,48,76
1998-04-14,391,20,43,47,62,74
1998-04-16,392,11,17,26,48,56
1998-04-18,393,17,37,53,71,76
1998-04-23,394,1,6,38,65,70
1998-04-25,395,31,34,36,58,62
1998-04-28,396,21,23,37,69,73
1998-04-30,397,27,38,48,58,75
1998-05-02,398,11,12,17,57,74
1998-05-05,399,9,27,38,48,57
1998-05-07,400,56,59,65,70,71
1998-05-09,401,1,7,9,39,80
1998-05-12,402,38,57,66,72,77
1998-05-14,403,1,14,42,44,56
1998-05-16,404,4,8,52,59,67
1998-05-19,405,5,19,43,77,80
1998-05-21,406,3,35,40,61,77
1998-05-23,407,16,29,44,57,70
1998-05-26,408,4,5,14,28,40
1998-05-28,409,3,26,63,74,76
1998-05-30,410,7,8,17,47,55
1998-06-02,411,9,12,52,65,78
1998-06-04,412,1,20,44,66,77
1998-06-06,413,24,40,52,57,62
1998-06-09,414,2,12,20,47,55
1998-06-13,415,15,26,51,58,65
1998-06-16,416,47,52,53,71,78
1998-06-18,417,11,25,40,48,73
1998-06-20,418,34,39,47,75,76
1998-06-23,419,21,23,37,50,55
1998-06-25,420,38,44,46,72,80
1998-06-27,421,24,41,52,56,76
1998-06-30,422,37,44,54,62,64
1998-07-02,423,17,39,48,56,75
1998-07-04,424,5,6,22,28,31
1998-07-07,425,1,21,28,44,48
1998-07-09,426,5,13,26,54,67
1998-07-11,427,15,24,30,57,67
1998-07-14,428,5,20,27,70,80
1998-07-16,429,2,39,41,51,73
1998-07-18,430,19,52,57,74,79
1998-07-21,431,6,35,50,57,58
1998-07-23,432,27,33,37,53,60
1998-07-25,433,20,22,38,45,53
1998-07-28,434,23,30,36,39,40
1998-07-30,435,20,30,34,35,65
1998-08-01,436,31,38,43,44,79
1998-08-04,437,15,30,31,49,52
1998-08-06,438,12,27,46,48,79
1998-08-08,439,10,21,52,58,64
1998-08-11,440,35,64,66,70,79
1998-08-13,441,13,33,60,75,76
1998-08-15,442,2,52,53,70,77
1998-08-18,443,3,50,66,67,70
1998-08-20,444,13,32,53,60,69
1998-08-22,445,8,38,39,46,76
1998-08-25,446,23,42,50,61,80
1998-08-27,447,12,14,16,43,44
1998-08-29,448,12,25,27,34,76
1998-09-01,449,13,19,34,54,73
1998-09-03,450,13,35,48,49,53
1998-09-05,451,21,32,48,54,61
1998-09-10,452,12,51,54,60,61
1998-09-12,453,18,44,66,74,75
1998-09-15,454,19,30,40,60,75
1998-09-17,455,7,16,49,52,73
1998-09-19,456,18,47,70,74,80
1998-09-22,457,1,13,31,49,56
1998-09-24,458,21,29,40,62,73
1998-09-26,459,8,19,30,33,49
1998-09-29,460,15,52,61,67,68
1998-10-01,461,9,48,51,65,80
1998-10-03,462,12,30,44,50,79
1998-10-06,463,5,33,43,53,67
1998-10-08,464,9,18,29,69,80
1998-10-10,465,10,37,41,47,78
1998-10-15,466,4,8,18,19,31
1998-10-17,467,19,31,35,60,79
1998-10-20,468,6,9,49,57,77
1998-10-22,469,7,10,59,65,79
1998-10-24,470,18,28,30,45,70
1998-10-27,471,18,21,32,38,54
1998-10-29,472,24,57,67,69,77
1998-10-31,473,30,49,56,57,74
1998-11-05,474,12,22,27,28,77
1998-11-07,475,3,11,32,37,53
1998-11-10,476,12,16,49,56,67
1998-11-12,477,4,18,27,38,47
1998-11-14,478,8,14,28,63,64
1998-11-17,479,10,15,17,63,67
1998-11-19,480,31,33,48,68,80
1998-11-21,481,22,25,45,56,72
1998-11-24,482,3,5,26,38,62
1998-11-26,483,19,20,25,52,55
1998-11-28,484,27,37,56,66,68
1998-12-01,485,3,11,52,56,59
1998-12-03,486,14,25,32,53,67
1998-12-05,487,16,40,55,64,70
1998-12-08,488,3,24,53,56,63
1998-12-10,489,1,36,38,41,74
1998-12-12,490,7,17,29,42,43
1998-12-15,491,3,10,14,21,64
1998-12-17,492,2,28,43,44,64
1998-12-19,493,7,10,11,39,47
1998-12-22,494,27,38,44,65,70
1998-12-24,495,6,23,25,33,38
1998-12-29,496,9,11,28,39,47
1998-12-31,497,6,13,29,48,76
1999-01-05,498,3,14,20,39,68
1999-01-07,499,5,9,50,51,73
1999-01-09,500,9,18,38,71,73
1999-01-12,501,24,32,51,61,63
1999-01-14,502,11,35,45,50,64
1999-01-16,503,2,18,23,54,73
1999-01-19,504,3,7,26,66,79
1999-01-21,505,9,30,52,59,75
1999-01-23,506,16,29,62,64,73
1999-01-26,507,1,26,64,68,73
1999-01-28,508,7,22,28,41,53
1999-01-30,509,5,14,15,25,73
1999-02-02,510,4,5,18,58,72
1999-02-04,511,7,15,19,34,52
1999-02-06,512,6,40,56,66,71
1999-02-09,513,15,27,31,56,63
1999-02-11,514,1,9,27,69,78
1999-02-13,515,6,21,33,34,75
1999-02-18,516,5,47,54,63,72
1999-02-20,517,3,14,22,46,60
1999-02-23,518,6,22,28,45,71
1999-02-25,519,3,36,40,52,76
1999-02-27,520,4,12,28,30,43
1999-03-02,521,26,52,72,74,79
1999-03-04,522,1,2,3,27,65
1999-03-06,523,9,52,59,62,80
1999-03-09,524,3,5,16,32,38
1999-03-11,525,16,38,58,64,72
1999-03-13,526,7,8,36,57,67
1999-03-16,527,2,25,44,45,65
1999-03-18,528,1,9,50,61,79
1999-03-20,529,7,10,26,35,36
1999-03-23,530,7,24,26,28,72
1999-03-25,531,11,35,56,63,77
1999-03-27,532,22,25,30,57,63
1999-03-30,533,5,13,39,47,63
1999-04-03,534,7,43,53,59,72
1999-04-06,535,3,23,51,73,74
1999-04-08,536,3,9,48,59,79
1999-04-10,537,4,22,49,53,64
1999-04-13,538,25,29,34,59,66
1999-04-15,539,19,42,63,75,78
1999-04-17,540,4,8,15,20,32
1999-04-20,541,6,13,18,21,80
1999-04-24,542,25,33,40,54,71
1999-04-27,543,7,19,36,43,74
1999-04-29,544,9,40,47,48,53
1999-05-01,545,6,20,44,48,76
1999-05-04,546,1,32,45,52,72
1999-05-06,547,2,16,27,30,56
1999-05-08,548,14,20,46,49,80
1999-05-11,549,19,33,50,53,70
1999-05-13,550,12,28,51,53,67
1999-05-15,551,14,35,37,57,65
1999-05-18,552,8,15,16,44,56
1999-05-20,553,12,16,27,28,78
1999-05-22,554,4,9,20,35,80
1999-05-25,555,19,30,47,54,55
1999-05-27,556,15,46,55,59,69
1999-05-29,557,10,36,48,71,77
1999-06-01,558,27,45,46,61,75
1999-06-05,559,6,7,39,41,62
1999-06-08,560,17,22,39,58,75
1999-06-10,561,3,17,21,25,39
1999-06-12,562,15,30,43,56,58
1999-06-15,563,46,57,62,76,80
1999-06-17,564,7,31,42,46,56
1999-06-19,565,37,40,51,64,74
1999-06-22,566,7,21,23,29,52
1999-06-24,567,3,29,65,69,79
1999-06-26,568,13,15,48,49,80
1999-06-29,569,35,49,56,75,76
1999-07-01,570,3,20,40,57,60
1999-07-03,571,19,22,35,44,45
1999-07-06,572,1,5,14,24,25
1999-07-08,573,10,25,31,32,54
1999-07-10,574,12,19,44,68,75
1999-07-13,575,3,16,36,55,62
1999-07-15,576,18,28,45,52,59
1999-07-17,577,5,6,17,23,45
1999-07-20,578,7,11,34,47,74
1999-07-22,579,5,23,47,50,61
1999-07-24,580,4,17,18,27,56
1999-07-27,581,21,30,54,66,72
1999-07-29,582,11,16,23,32,59
1999-07-31,583,10,35,39,57,70
1999-08-03,584,9,18,20,53,70
1999-08-05,585,7,10,29,37,63
1999-08-07,586,12,19,22,31,42
1999-08-10,587,5,44,59,74,79
1999-08-12,588,6,33,49,74,75
1999-08-14,589,15,20,28,31,53
1999-08-17,590,18,22,30,47,52
1999-08-19,591,14,20,28,43,48
1999-08-21,592,10,17,34,51,63
1999-08-24,593,9,14,32,41,79
1999-08-26,594,8,14,33,37,73
1999-08-28,595,8,23,32,40,44
1999-08-31,596,3,17,29,61,75
1999-09-02,597,24,33,41,69,74
1999-09-04,598,13,18,39,65,71
1999-09-09,599,22,32,37,47,51
1999-09-11,600,16,34,41,51,54
1999-09-14,601,9,38,52,62,78
1999-09-16,602,1,22,33,42,52
1999-09-18,603,21,25,33,37,55
1999-09-21,604,7,23,46,63,67
1999-09-23,605,19,32,37,44,69
1999-09-25,606,2,23,40,43,66
1999-09-28,607,1,21,33,46,76
1999-09-30,608,12,32,38,64,79
1999-10-02,609,28,49,58,63,76
1999-10-05,610,25,49,70,76,78
1999-10-07,611,4,31,38,47,78
1999-10-09,612,22,23,26,45,63
1999-10-14,613,1,21,28,70,79
1999-10-16,614,16,22,42,51,57
1999-10-19,615,1,11,23,53,67
1999-10-21,616,7,17,40,58,73
1999-10-23,617,8,10,11,14,50
1999-10-26,618,35,49,54,64,68
1999-10-28,619,1,11,25,33,79
1999-10-30,620,10,17,18,24,40
1999-11-04,621,9,25,33,53,68
1999-11-06,622,1,17,34,40,46
1999-11-09,623,26,33,44,50,79
1999-11-11,624,44,45,46,49,67
1999-11-13,625,13,32,42,59,69
1999-11-18,626,7,33,38,58,76
1999-11-20,627,31,44,49,70,80
1999-11-23,628,46,52,56,60,65
1999-11-25,629,26,34,42,64,78
1999-11-27,630,7,45,56,59,61
1999-11-30,631,29,53,58,61,68
1999-12-02,632,17,20,21,42,48
1999-12-04,633,8,20,59,61,66
1999-12-07,634,34,50,60,71,73
1999-12-09,635,1,25,36,50,62
1999-12-11,636,11,32,40,43,57
1999-12-14,637,9,15,23,41,67
1999-12-16,638,7,49,51,64,69
1999-12-18,639,17,35,55,62,77
1999-12-21,640,5,14,39,57,72
1999-12-23,641,15,56,63,65,76
1999-12-28,642,10,20,36,58,60
1999-12-30,643,2,9,41,53,60
2000-01-04,644,12,27,28,34,49
2000-01-06,645,2,15,22,25,74
2000-01-08,646,3,8,36,44,63
2000-01-11,647,19,43,52,59,74
2000-01-13,648,24,31,39,60,72
2000-01-15,649,29,38,71,73,78
2000-01-18,650,11,23,33,52,70
2000-01-20,651,23,27,40,72,73
2000-01-22,652,3,27,47,66,76
2000-01-25,653,7,8,10,45,46
2000-01-27,654,3,13,48,55,68
2000-01-29,655,11,21,31,40,41
2000-02-01,656,12,27,40,58,67
2000-02-03,657,41,62,70,79,80
2000-02-05,658,3,25,44,60,69
2000-02-08,659,9,24,39,49,64
2000-02-10,660,42,45,53,70,73
2000-02-12,661,12,29,33,62,74
2000-02-15,662,7,19,22,40,73
2000-02-17,663,34,36,51,69,70
2000-02-19,664,10,12,37,38,65
2000-02-22,665,8,28,70,77,78
2000-02-24,666,15,16,27,50,64
2000-02-26,667,34,44,55,60,63
2000-02-29,668,4,11,38,39,51
2000-03-02,669,2,16,31,55,61
2000-03-04,670,8,18,30,34,76
2000-03-09,671,12,63,65,74,77
2000-03-11,672,10,49,53,57,62
2000-03-14,673,12,25,31,48,79
2000-03-16,674,2,6,50,56,80
2000-03-18,675,14,37,58,70,79
2000-03-21,676,17,19,48,50,66
2000-03-23,677,4,9,20,31,38
2000-03-25,678,13,38,40,64,71
2000-03-28,679,26,33,48,58,77
2000-03-30,680,35,36,50,63,71
2000-04-01,681,15,24,53,65,66
2000-04-04,682,33,40,51,59,79
2000-04-06,683,24,25,35,37,70
2000-04-08,684,9,44,53,73,76
2000-04-11,685,4,30,46,52,71
2000-04-13,686,18,46,49,61,76
2000-04-15,687,33,58,64,69,78
2000-04-18,688,6,16,37,52,71
2000-04-20,689,1,13,17,25,73
2000-04-25,690,13,26,33,39,56
2000-04-27,691,41,44,47,63,69
2000-04-29,692,2,14,22,35,66
2000-05-04,693,16,24,37,41,69
2000-05-06,694,17,44,51,61,63
2000-05-09,695,13,24,29,38,43
2000-05-11,696,28,43,63,65,69
2000-05-13,697,19,28,31,53,66
2000-05-16,698,1,2,10,19,60
2000-05-18,699,8,25,51,58,75
2000-05-20,700,2,25,36,42,59
2000-05-23,701,21,57,65,79,80
2000-05-25,702,9,19,40,54,73
2000-05-27,703,3,23,55,57,78
2000-05-30,704,15,27,42,60,63
2000-06-01,705,36,37,51,54,67
2000-06-03,706,27,33,56,57,73
2000-06-06,707,1,52,53,57,80
2000-06-08,708,5,8,11,12,62
2000-06-10,709,5,26,39,51,53
2000-06-13,710,28,31,34,39,70
2000-06-15,711,13,14,32,54,60
2000-06-17,712,12,18,41,62,67
2000-06-20,713,7,12,23,38,39
2000-06-24,714,13,48,71,73,75
2000-06-27,715,23,32,38,49,74
2000-06-29,716,8,43,49,54,71
2000-07-01,717,13,16,23,40,49
2000-07-04,718,22,32,37,46,70
2000-07-06,719,1,7,14,43,68
2000-07-08,720,5,32,34,47,78
2000-07-11,721,9,24,49,70,72
2000-07-13,722,5,14,65,71,73
2000-07-15,723,12,20,64,69,77
2000-07-18,724,8,42,45,47,63
2000-07-20,725,2,43,56,59,60
2000-07-22,726,14,18,31,78,79
2000-07-25,727,2,4,45,46,51
2000-07-27,728,3,19,34,43,61
2000-07-29,729,25,38,54,61,71
2000-08-01,730,8,11,25,48,61
2000-08-03,731,3,9,42,53,69
2000-08-05,732,7,10,28,62,78
2000-08-08,733,16,32,59,73,76
